
[00:00:00.000 --> 00:00:02.160]   (beeping)
[00:00:02.160 --> 00:00:12.840]   Welcome back to Ask the Compound.
[00:00:12.840 --> 00:00:16.840]   Our email here is askthecompoundshow@gmail.com.
[00:00:16.840 --> 00:00:18.240]   Duncan, we've got a lot more questions
[00:00:18.240 --> 00:00:19.280]   beyond the bond market today.
[00:00:19.280 --> 00:00:21.280]   Stock market, inflation,
[00:00:21.280 --> 00:00:23.520]   people are thinking about other stuff.
[00:00:23.520 --> 00:00:24.720]   I'm excited, we've got a great guest today,
[00:00:24.720 --> 00:00:26.480]   so let's do it.
[00:00:26.480 --> 00:00:27.480]   Yeah, we've got a good one.
[00:00:27.480 --> 00:00:29.080]   Let's not waste any time.
[00:00:29.080 --> 00:00:30.960]   All right, right on.
[00:00:30.960 --> 00:00:33.320]   All right, so up first today we have,
[00:00:33.320 --> 00:00:36.880]   I'm 29 and planning to work until age 67 or so.
[00:00:36.880 --> 00:00:39.440]   I've read the equities return about 10% on average,
[00:00:39.440 --> 00:00:41.560]   but what real rate of return should I be using
[00:00:41.560 --> 00:00:43.360]   for retirement forecasting?
[00:00:43.360 --> 00:00:45.920]   Okay, something that maybe some non-finance people
[00:00:45.920 --> 00:00:48.960]   don't know, real means inflation adjusted.
[00:00:48.960 --> 00:00:50.640]   I like the fact that this person is thinking that way,
[00:00:50.640 --> 00:00:52.000]   especially for 29.
[00:00:52.000 --> 00:00:54.000]   By the time you're 67, retirement planning,
[00:00:54.000 --> 00:00:55.760]   that the dollars of today are not gonna be
[00:00:55.760 --> 00:00:57.720]   what the dollars of tomorrow are worth.
[00:00:57.720 --> 00:00:59.200]   And I think a lot of people don't understand this
[00:00:59.200 --> 00:01:00.040]   sometimes, right?
[00:01:00.040 --> 00:01:03.960]   Like, we were talking about GDP today on social media,
[00:01:03.960 --> 00:01:05.800]   and the government reports real GDP,
[00:01:05.800 --> 00:01:07.440]   which is inflation adjusted.
[00:01:07.440 --> 00:01:09.360]   And a lot of people my Twitter mentions don't realize
[00:01:09.360 --> 00:01:11.640]   that real means inflation adjusted.
[00:01:11.640 --> 00:01:12.480]   Right.
[00:01:12.480 --> 00:01:14.160]   Well, sure, GDP is up, but what about after inflation?
[00:01:14.160 --> 00:01:15.760]   Well, real GDP is after inflation.
[00:01:15.760 --> 00:01:18.360]   That does kind of seem like the catch-all return
[00:01:18.360 --> 00:01:19.760]   or retort that you get a lot,
[00:01:19.760 --> 00:01:21.680]   anytime you give any numbers as people go,
[00:01:21.680 --> 00:01:22.920]   but what about inflation?
[00:01:22.920 --> 00:01:24.760]   Yes, and I think more people are thinking about
[00:01:24.760 --> 00:01:27.320]   real stock market returns, inflation adjusted now,
[00:01:27.320 --> 00:01:29.000]   than they would have in the 2010s when it was lower,
[00:01:29.000 --> 00:01:30.760]   even though inflation was still eating your returns.
[00:01:30.760 --> 00:01:32.960]   So let's actually bring on someone who has studied
[00:01:32.960 --> 00:01:34.800]   long-term returns for the U.S. stock market
[00:01:34.800 --> 00:01:37.160]   even more than I have, which is saying something.
[00:01:37.160 --> 00:01:38.000]   That's a lot.
[00:01:38.000 --> 00:01:40.400]   Mr. Jeremy Schwartz from Wisdom Tree.
[00:01:40.400 --> 00:01:41.240]   Jeremy.
[00:01:41.240 --> 00:01:42.080]   Hey, Jeremy.
[00:01:42.080 --> 00:01:44.160]   Ben Duncan, great to be here with you guys.
[00:01:44.160 --> 00:01:45.160]   Welcome to the show.
[00:01:45.160 --> 00:01:47.360]   I have my copy of "Stocks to the Long Run"
[00:01:47.360 --> 00:01:48.200]   that you gave me.
[00:01:48.200 --> 00:01:49.280]   I think this is a sixth edition.
