
[00:00:00.000 --> 00:00:03.240]   (upbeat hip hop music)
[00:00:03.240 --> 00:00:10.320]   - Welcome back to another episode of Curious Mike.
[00:00:10.320 --> 00:00:13.160]   I am here with the one and only Nikola Jokic.
[00:00:13.160 --> 00:00:14.000]   My boy here.
[00:00:14.000 --> 00:00:15.320]   - My boy.
[00:00:15.320 --> 00:00:17.160]   - Appreciate you getting on my back.
[00:00:17.160 --> 00:00:18.000]   - Of course.
[00:00:18.000 --> 00:00:19.040]   - All right, so I kind of want to start
[00:00:19.040 --> 00:00:19.920]   with some basketball stuff.
[00:00:19.920 --> 00:00:22.840]   Then we'll move to some, you know, off the court.
[00:00:22.840 --> 00:00:24.400]   So obviously you're a two-time MVP.
[00:00:24.400 --> 00:00:27.320]   You know, we won the championship last year.
[00:00:27.320 --> 00:00:29.000]   And one thing I've always been impressed with
[00:00:29.000 --> 00:00:31.960]   is how you continue to get better and better and better
[00:00:31.960 --> 00:00:32.920]   as years go by.
[00:00:32.920 --> 00:00:34.160]   How do you stay motivated
[00:00:34.160 --> 00:00:37.220]   now that you have achieved so much at so young?
[00:00:37.220 --> 00:00:40.760]   - That's actually a nice question.
[00:00:40.760 --> 00:00:43.920]   I think the motivation is actually,
[00:00:43.920 --> 00:00:47.720]   becomes your lifestyle of being obsessed with the success.
[00:00:47.720 --> 00:00:52.720]   I think winning is a lifestyle for us right now.
[00:00:52.720 --> 00:00:55.320]   I'm thinking about the team right now.
[00:00:55.320 --> 00:00:58.400]   Like, I think like we can win every game.
[00:00:58.400 --> 00:01:01.600]   And I think it's like winning is kind of lifestyle
[00:01:01.600 --> 00:01:05.720]   and you're getting obsessed with winning and that lifestyle.
[00:01:05.720 --> 00:01:08.200]   It's really, we have fun when it's winning.
[00:01:08.200 --> 00:01:10.160]   - Yeah, we talked about that yesterday.
[00:01:10.160 --> 00:01:12.120]   Yeah, like, and when we lose, it's like.
[00:01:12.120 --> 00:01:13.920]   - It's like, no way.
[00:01:13.920 --> 00:01:15.240]   - Yeah, we don't feel right.
[00:01:15.240 --> 00:01:17.480]   We won so much now that we just don't feel right losing.
[00:01:17.480 --> 00:01:18.920]   - I think that's the, like,
[00:01:18.920 --> 00:01:20.840]   I think that's probably my motivation,
[00:01:20.840 --> 00:01:25.840]   just like obsess of winning and that kind of lifestyle.
[00:01:25.840 --> 00:01:27.720]   - I agree.
[00:01:27.720 --> 00:01:30.720]   - One thing, I don't know if you remember this.
[00:01:30.720 --> 00:01:32.280]   My, I think it was my rookie year
[00:01:32.280 --> 00:01:33.400]   or maybe it was my second year.
[00:01:33.400 --> 00:01:35.600]   And I asked you, I texted you the question.
[00:01:35.600 --> 00:01:37.460]   I was like, how do you deal with pressure?
[00:01:37.460 --> 00:01:41.720]   Because you, and everyone kind of notices this is about you.
[00:01:41.720 --> 00:01:45.120]   In the clutch moments, you know, at the end of the games,
[00:01:45.120 --> 00:01:46.440]   you always are just like this.
[00:01:46.440 --> 00:01:47.560]   No matter what is happening,
[00:01:47.560 --> 00:01:49.120]   you always perform under pressure
[00:01:49.120 --> 00:01:50.640]   and you never seem rattled.
[00:01:50.640 --> 00:01:51.960]   So I remember I asked you about that
[00:01:51.960 --> 00:01:54.380]   'cause that was something I just really admired about you.
[00:01:54.380 --> 00:01:58.580]   And your answer was, I don't know if it's the same now,
[00:01:58.580 --> 00:01:59.920]   but your answer then was like,
[00:01:59.920 --> 00:02:02.400]   I feel the fear, I feel the pressure,
[00:02:02.400 --> 00:02:04.200]   but I just accept it and I deal with it
[00:02:04.200 --> 00:02:05.900]   and I just go do what I need to do.
[00:02:05.900 --> 00:02:09.460]   And you said you prepare so when the moments come,
[00:02:09.460 --> 00:02:12.060]   you don't feel like you haven't prepared.
[00:02:12.060 --> 00:02:13.180]   Is that kind of the same?
[00:02:13.180 --> 00:02:16.780]   - It's interesting because I think if you're not scared,
[00:02:16.780 --> 00:02:20.940]   if you're not pressured, if you don't feel nervous,
[00:02:20.940 --> 00:02:23.500]   I think you're not, you didn't choose the right sport.
[00:02:23.500 --> 00:02:28.020]   I think that's a normal thing and you must have that.
[00:02:28.020 --> 00:02:31.940]   I think you just, I think the most important thing is to,
[00:02:31.940 --> 00:02:35.580]   like I said, prepare yourself for that moment.
[00:02:35.580 --> 00:02:39.180]   Okay, it's gonna, you think in your head,
[00:02:39.180 --> 00:02:42.240]   okay, this play, a crowd, we are playing home away.
[00:02:42.240 --> 00:02:43.820]   We were losing or we were winning.
[00:02:43.820 --> 00:02:47.540]   So you need to, like, I put scenarios in my head,
[00:02:47.540 --> 00:02:51.340]   like what can, okay, this play, what can happen here?
[00:02:51.340 --> 00:02:55.740]   So I'm kind of already lived that in my head.
[00:02:55.740 --> 00:02:57.820]   So what happened on the floor,
[00:02:57.820 --> 00:03:00.020]   of course, sometimes it's different,
[00:03:00.020 --> 00:03:05.020]   but kind of that makes you prepare for whatever happens.
[00:03:05.020 --> 00:03:09.700]   And I think, but just from the beginning,
[00:03:09.700 --> 00:03:13.220]   pressure and fear, like even now,
[00:03:13.220 --> 00:03:16.620]   I think of every game, I have a pressure, I have a fear.
[00:03:16.620 --> 00:03:20.060]   The guy on the opposing team is gonna beat me.
[00:03:20.060 --> 00:03:23.460]   I think, I think you must have that
[00:03:23.460 --> 00:03:26.220]   or maybe I'm just different thinking.
[00:03:26.220 --> 00:03:28.340]   - I agree, I just think you carry yourself in such a way
[00:03:28.340 --> 00:03:30.620]   that no one would be able to tell on the outside
[00:03:30.620 --> 00:03:34.500]   that you carry pressure 'cause you just seem so nonchalant
[00:03:34.500 --> 00:03:37.740]   and non-caring and it lets you play so free.
[00:03:37.740 --> 00:03:40.740]   How much time do you think you actually prepare?
[00:03:40.740 --> 00:03:42.420]   Is it like when you step foot in the arena,
[00:03:42.420 --> 00:03:43.820]   now your mind is on basketball?
[00:03:43.820 --> 00:03:47.820]   Or is this something that you carry with you even at home?
[00:03:47.820 --> 00:03:49.300]   Or do you separate the two?
[00:03:50.140 --> 00:03:55.140]   - I think you, like my game starts this night,
[00:03:55.140 --> 00:03:58.820]   tonight, you know, and ends up after I stretch
[00:03:58.820 --> 00:04:01.340]   or after I like, you know, we are lifting together after.
[00:04:01.340 --> 00:04:05.580]   So like my game doesn't end when it's zero in the clock.
[00:04:05.580 --> 00:04:08.020]   My game ends like when I'm stretching
[00:04:08.020 --> 00:04:09.180]   or when I'm driving home.
[00:04:09.180 --> 00:04:11.380]   That's when my game ends.
[00:04:11.380 --> 00:04:12.620]   - Oh yeah, routine.
[00:04:12.620 --> 00:04:17.060]   - But it's not like I'm obsessed with my routine,
[00:04:17.060 --> 00:04:21.940]   but I'm kind of trying to not make a big deal of my routine
[00:04:21.940 --> 00:04:23.860]   but still kind of doing it, you know.
[00:04:23.860 --> 00:04:26.620]   I don't want to say if I don't lift
[00:04:26.620 --> 00:04:27.860]   or something's going to happen, you know.
[00:04:27.860 --> 00:04:30.060]   No, like I'm going to do it and it's,
[00:04:30.060 --> 00:04:32.820]   I'm trying to kind of cruise through my routine.
[00:04:32.820 --> 00:04:34.980]   - Right, and it's not like people sometimes
[00:04:34.980 --> 00:04:35.860]   have superstition.
[00:04:35.860 --> 00:04:38.300]   - Yeah, it's not like if I cross the line
[00:04:38.300 --> 00:04:40.140]   or if I like, I need to make five in a row.
[00:04:40.140 --> 00:04:41.220]   Like I don't have that.
[00:04:41.220 --> 00:04:44.100]   Like sometimes, I mean, I'm shooting in a warmup.
[00:04:44.100 --> 00:04:46.340]   If I miss, I just go to the next spot.
[00:04:46.340 --> 00:04:48.420]   And like, it's not something that I'm like,
[00:04:48.420 --> 00:04:49.540]   I need to do this, you know.
[00:04:49.540 --> 00:04:54.540]   So I think that helps me to maybe alleviate the pressure.
[00:04:54.540 --> 00:04:58.700]   Like, because pressure is the game.
[00:04:58.700 --> 00:05:02.540]   Routine or warmup doesn't need to be pressure, you know.
[00:05:02.540 --> 00:05:03.380]   - Yeah, this is part of your life.
[00:05:03.380 --> 00:05:06.140]   - Yeah, but my game starts probably tonight.
[00:05:06.140 --> 00:05:08.660]   Like even now, you kind of start thinking, okay,
[00:05:08.660 --> 00:05:10.380]   like you, you have maxed truths
[00:05:10.380 --> 00:05:14.020]   or whoever is your next opponent tomorrow,
[00:05:14.020 --> 00:05:16.100]   like, uh-huh, this is what he's going to do.
[00:05:16.100 --> 00:05:19.380]   I'm runoff, non-runoff, shooting, not shooting,
[00:05:19.380 --> 00:05:20.580]   dribble, like whatever.
[00:05:20.580 --> 00:05:22.220]   He's a good in a pocket.
[00:05:22.220 --> 00:05:24.020]   For me, he's a good post-up player.
[00:05:24.020 --> 00:05:25.420]   I need to box him out.
[00:05:25.420 --> 00:05:28.260]   Like you need to, that's how I'm, you don't need to,
[00:05:28.260 --> 00:05:30.260]   but that's how I'm thinking.
[00:05:30.260 --> 00:05:35.260]   Like slowly kind of preparing myself to the game.
[00:05:35.260 --> 00:05:40.660]   And I love to be prepared, that helps.
[00:05:40.660 --> 00:05:43.260]   Maybe actually that helps me with the pressure too.
[00:05:43.260 --> 00:05:44.540]   Like being prepared for the game.
[00:05:44.540 --> 00:05:47.300]   Like, you know, I'm really good at reading the plays
[00:05:47.300 --> 00:05:49.140]   and like knowing what they're going to run.
[00:05:49.140 --> 00:05:53.180]   And that kind of helped me with the pressure.
[00:05:53.180 --> 00:05:54.180]   - 'Cause you just-
[00:05:54.180 --> 00:05:55.380]   - Okay, I know what's going to happen.
[00:05:55.380 --> 00:05:56.980]   You know, it's-
[00:05:56.980 --> 00:05:59.900]   - Yeah, this dude will call out, call out plays
[00:05:59.900 --> 00:06:01.860]   that we didn't even go through
[00:06:01.860 --> 00:06:03.860]   and walk through or anything.
[00:06:03.860 --> 00:06:05.060]   - I gave the clippers, you remember?
[00:06:05.060 --> 00:06:05.900]   - Yeah.
[00:06:05.900 --> 00:06:07.260]   - The mic's right here.
[00:06:07.260 --> 00:06:09.500]   - Bro, I was like, wait, what?
