
[00:00:00.000 --> 00:00:03.240]   (upbeat hip hop music)
[00:00:03.240 --> 00:00:12.240]   - Welcome to another episode of Curious Mike.
[00:00:12.240 --> 00:00:14.280]   I am here with Lana Rhodes.
[00:00:14.280 --> 00:00:18.520]   Yeah, so people are gonna be surprised
[00:00:18.520 --> 00:00:20.880]   that we're on a podcast together,
[00:00:20.880 --> 00:00:22.880]   but I actually came across one of your podcasts
[00:00:22.880 --> 00:00:23.880]   that you used to do,
[00:00:23.880 --> 00:00:26.720]   'cause I was messing with one of your friends,
[00:00:26.720 --> 00:00:27.960]   and she sent me the podcast,
[00:00:27.960 --> 00:00:30.840]   and you were talking about just the dark sides
[00:00:30.840 --> 00:00:34.360]   of the adult film industry and the porn industry,
[00:00:34.360 --> 00:00:36.160]   which you used to be a part of,
[00:00:36.160 --> 00:00:38.840]   and it really just, I was really interested,
[00:00:38.840 --> 00:00:41.760]   and honestly, inspired by your story.
[00:00:41.760 --> 00:00:43.560]   So that's kinda why I wanna have you on,
[00:00:43.560 --> 00:00:45.560]   and I appreciate you being vulnerable
[00:00:45.560 --> 00:00:47.200]   and coming on the podcast.
[00:00:47.200 --> 00:00:49.680]   - No, thank you, that's so sweet.
[00:00:49.680 --> 00:00:50.640]   - Yeah, not for sure.
[00:00:50.640 --> 00:00:52.460]   So let's start off just with your childhood.
[00:00:52.460 --> 00:00:55.260]   I feel like a lot of people who end up
[00:00:55.260 --> 00:00:57.440]   in the sex industry at all
[00:00:57.440 --> 00:00:59.600]   kinda have an unorthodox kinda upbringing.
[00:00:59.600 --> 00:01:02.320]   Was yours a usual upbringing,
[00:01:02.320 --> 00:01:03.720]   or how'd that go growing up?
[00:01:03.720 --> 00:01:06.080]   - So there's a lot of things
[00:01:06.080 --> 00:01:08.360]   that I've come to terms with recently
[00:01:08.360 --> 00:01:11.920]   that I didn't even realize were wrong in my childhood.
[00:01:11.920 --> 00:01:16.240]   Like the past year, I've started going to therapy,
[00:01:16.240 --> 00:01:19.900]   and I was diagnosed with borderline personality disorder,
[00:01:19.900 --> 00:01:24.160]   and I've been through so many things
[00:01:24.160 --> 00:01:26.120]   that I was like, oh, maybe this caused it,
[00:01:26.120 --> 00:01:27.720]   or this caused it.
[00:01:27.720 --> 00:01:31.400]   And the one thing that really,
[00:01:31.400 --> 00:01:36.840]   I feel like if you don't have borderline BPD,
[00:01:36.840 --> 00:01:38.560]   you won't understand the feeling.
[00:01:38.560 --> 00:01:39.960]   But basically to figure it out,
[00:01:39.960 --> 00:01:41.640]   I had to go back and think,
[00:01:41.640 --> 00:01:45.800]   when was the first time that I had this feeling
